"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"WHOSIS_000001","PUBLISHED","2013","AMR","GRD","BTSX","73.3","73.32068","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","IRL","BTSX","81.0","80.96538","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","ITA","BTSX","82.3","82.32586","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","KEN","BTSX","62.6","62.57568","","",""
"WHOSIS_000001","PUBLISHED","2013","EMR","LBY","BTSX","72.9","72.85607","","",""
"WHOSIS_000001","PUBLISHED","2013","AMR","LCA","BTSX","74.8","74.77778","","",""
"WHOSIS_000001","PUBLISHED","2013","SEAR","MMR","BTSX","66.2","66.15154","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","MUS","BTSX","74.1","74.10355","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","NER","BTSX","60.9","60.89352","","",""
"WHOSIS_000001","PUBLISHED","2013","AMR","PAN","BTSX","77.5","77.50749","","",""
"WHOSIS_000001","PUBLISHED","2013","AMR","PER","BTSX","75.3","75.28803","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","PRT","BTSX","80.6","80.61548","","",""
"WHOSIS_000001","PUBLISHED","2013","AMR","PRY","BTSX","73.8","73.76443","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","RWA","BTSX","65.2","65.23911","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","SEN","BTSX","66.0","66.03338","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","SLE","BTSX","50.4","50.39339","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","SWZ","BTSX","57.6","57.57930","","",""
"WHOSIS_000001","PUBLISHED","2013","EMR","SYR","BTSX","63.6","63.61972","","",""
"WHOSIS_000001","PUBLISHED","2013","AMR","TTO","BTSX","71.0","70.98109","","",""
"WHOSIS_000001","PUBLISHED","2013","EMR","TUN","BTSX","74.9","74.94267","","",""
