country,life expectancy,national income per capita,population density,air pollution,sanitation facility,education expenditure,clean water source,health expenditure,urban population percentage,carbon dioxide emission
Austria,81.06575,41636.1215601971,102.74169705928699,15.6,100.0,5.21,100.0,5478.24494959,65.884,7.36005578241321
Central African Republic,49.93576,306.261154724989,7.5615236444187595,40.4,21.6,1.15,68.3,12.53258889,39.5,0.0630539807645524
Canada,81.82275,41427.1952327595,3.86599882773538,7.2,99.8,4.93,99.8,5619.37646293,81.472,13.532294848097598
Cyprus,80.14259,23331.187469760698,123.555411255411,15.9,100.0,5.94,100.0,1889.86788875,67.133,5.20988357222691
Dominican Republic,73.39816,5328.89278760798,212.777483443709,20.7,83.3,2.51925224672984,85.2,245.17786209,77.082,2.14675587234744
Algeria,75.26168,4077.5954819339295,16.0328730256031,27.1,87.2,4.4671956,84.5,345.65370409,69.51,3.5147800896843795
France,81.99919,35568.955234304,120.48443723667101,12.1,98.7,5.01,100.0,4955.35152387,79.055,5.050482994348349
Guinea-Bissau,58.12134,417.99376009118697,62.4871266002845,27.5,20.5,1.16,75.5,40.45593686,47.747,0.146084143647226
Guatemala,71.40675999999998,3009.2665739568797,146.423973497574,32.0,63.6,2.84,92.7,216.09411051,50.661,0.866574175059221
Indonesia,68.704,3206.37189096042,138.701941409937,15.1,59.7,3.05,86.2,106.02155458,52.251999999999995,1.9077812592625099
Iraq,69.45579000000001,4730.483811741629,78.53049825013821,57.3,85.6,4.6,86.5,339.35302449,69.262,4.920137221971349
Jamaica,75.58058,4643.01635187951,250.661957525392,16.7,81.8,6.27,93.8,305.85417674,54.336000000000006,2.84615509294135
Kiribati,65.84379,2426.8872475196,134.004938271605,3.2,39.7,6.1,66.8,158.05608582,44.055,0.5743200913915091
Liberia,61.10963,252.45753648162002,44.5773671096346,9.4,16.4,3.66,73.8,41.93196548,48.92100000000001,0.222905369085626
Sri Lanka,74.55085,2957.7174062795,328.16137777069,26.6,94.8,1.43,94.5,120.41556484,18.3,0.778696243743622
Lesotho,52.11234,1254.39626221929,68.612022397892,17.4,29.8,9.73,81.4,114.16329453,26.271,1.1020042139908501
Mali,57.26088000000001,505.04123610064795,13.5979617928355,44.9,23.8,3.98,73.0,43.87167423,38.363,0.061882473324499
Mongolia,68.10599,3386.73167731703,1.8404014006539802,21.6,58.5,4.17,64.0,184.78689037,70.366,14.5465487584876
Mozambique,55.27068000000001,527.474297427372,33.6569851725629,17.4,20.3,5.38,50.8,34.44457522,31.669,0.15184964926373
Malaysia,74.60231,8029.508550470529,89.68306802617559,15.6,96.0,6.09,98.0,427.04570399,73.28399999999999,8.02672706796303
Namibia,66.08712,4835.4032439517405,2.8502617546672497,19.1,33.6,8.34,89.6,470.04414484,44.678999999999995,1.2564041810421203
Nicaragua,73.87334,1591.6440238954901,49.40706332059171,24.5,67.8,4.1,86.8,153.82741485,58.146,0.76847528426684
Netherlands,81.3809,43403.6311758663,499.09212949212997,14.6,97.8,5.45,100.0,5688.44151021,89.271,10.1147592492266
Papua New Guinea,62.41537,1490.9280566475597,16.1393454930884,10.8,18.9,6.9,39.9,100.77142537,12.977,0.8308475845220269
Poland,77.05921,11677.089544768998,124.22911074099501,24.2,96.5,4.83,98.2,881.76911564,60.617,7.947728476477881
Qatar,77.94932,58226.814355297305,180.989491817399,114.2,98.0,1.8,100.0,2067.50838796,99.061,40.4623554695977
Slovenia,80.4547,18050.589501316,102.281678252234,16.9,99.1,5.36,99.5,2114.88165106,49.763999999999996,7.010182271148901
Togo,59.41954000000001,452.376200037606,127.389575289575,30.7,11.6,5.09,61.8,32.14176626,38.979,0.32178184740931204
United States,78.85654,45180.8125034557,34.5919827667255,8.3,100.0,5.05,99.2,8987.90148711,81.277,16.389757994879
South Africa,60.89896,5544.99218105702,43.848532377763206,28.5,65.3,5.93245570738341,92.4,601.37237519,63.788000000000004,8.85916909346285
Zambia,60.28272,1232.8222835332,20.5088661402494,24.1,43.5,1.06,63.8,87.83302346,40.027,0.250863139562508
Afghanistan,59.92601,637.037944259083,46.99705909383329,48.9,31.1,1.6,53.4,53.36597308,25.871,0.693183410739021
Bangladesh,71.01307,920.607276956629,1207.32422217101,86.0,58.7,1.59,85.5,28.15857423,32.753,0.43873596555056105
Belarus,71.72385,6487.019833956851,46.651224680893,17.1,94.4,4.88,99.7,465.16745243,75.877,6.736650116205371
Switzerland,82.96751,68574.8353492542,204.71064885109797,11.8,99.9,4.57,100.0,9471.53560309,73.78699999999999,4.98779518146461
Chile,80.14998,11932.8716270036,23.638300705282397,20.7,99.0,4.57,99.0,1192.05409445,89.175,4.73213571157623
Estonia,76.88,15686.6670287457,31.092167964142497,8.0,97.2,4.35,99.6,1213.55619426,67.721,15.110411480450999
Fiji,69.56206,4165.11821569274,48.19304871373839,5.5,91.1,4.41,95.6,186.64025801,52.976000000000006,1.94076914253135
