country,life expectancy,national income per capita,population density,air pollution,sanitation facility,education expenditure,clean water source,health expenditure,urban population percentage,carbon dioxide emission
Algeria,75.26168,4077.595482,16.03287303,27.1,87.2,4.4671956,84.5,345.6537041,69.51,3.51478009
France,81.99919,35568.95523,120.4844372,12.1,98.7,5.01,100,4955.351524,79.055,5.050482994
Guinea-Bissau,58.12134,417.9937601,62.4871266,27.5,20.5,1.16,75.5,40.45593686,47.747,0.146084144
Guatemala,71.40676,3009.266574,146.4239735,32,63.6,2.84,92.7,216.0941105,50.661,0.866574175
Indonesia,68.704,3206.371891,138.7019414,15.1,59.7,3.05,86.2,106.0215546,52.252,1.907781259
Iraq,69.45579,4730.483812,78.53049825,57.3,85.6,4.6,86.5,339.3530245,69.262,4.920137222
Jamaica,75.58058,4643.016352,250.6619575,16.7,81.8,6.27,93.8,305.8541767,54.336,2.846155093
Kiribati,65.84379,2426.887248,134.0049383,3.2,39.7,6.1,66.8,158.0560858,44.055,0.574320091
Liberia,61.10963,252.4575365,44.57736711,9.4,16.4,3.66,73.8,41.93196548,48.921,0.222905369
Sri Lanka,74.55085,2957.717406,328.1613778,26.6,94.8,1.43,94.5,120.4155648,18.3,0.778696244
Lesotho,52.11234,1254.396262,68.6120224,17.4,29.8,9.73,81.4,114.1632945,26.271,1.102004214
Mali,57.26088,505.0412361,13.59796179,44.9,23.8,3.98,73,43.87167423,38.363,0.061882473
Mongolia,68.10599,3386.731677,1.840401401,21.6,58.5,4.17,64,184.7868904,70.366,14.54654876
Mozambique,55.27068,527.4742974,33.65698517,17.4,20.3,5.38,50.8,34.44457522,31.669,0.151849649
Malaysia,74.60231,8029.50855,89.68306803,15.6,96,6.09,98,427.045704,73.284,8.026727068
Namibia,66.08712,4835.403244,2.850261755,19.1,33.6,8.34,89.6,470.0441448,44.679,1.256404181
Nicaragua,73.87334,1591.644024,49.40706332,24.5,67.8,4.1,86.8,153.8274149,58.146,0.768475284
Netherlands,81.3809,43403.63118,499.0921295,14.6,97.8,5.45,100,5688.44151,89.271,10.11475925
Papua New Guinea,62.41537,1490.928057,16.13934549,10.8,18.9,6.9,39.9,100.7714254,12.977,0.830847585
Poland,77.05921,11677.08954,124.2291107,24.2,96.5,4.83,98.2,881.7691156,60.617,7.947728476
Qatar,77.94932,58226.81436,180.9894918,114.2,98,1.8,100,2067.508388,99.061,40.46235547
Slovenia,80.4547,18050.5895,102.2816783,16.9,99.1,5.36,99.5,2114.881651,49.764,7.010182271
Togo,59.41954,452.3762,127.3895753,30.7,11.6,5.09,61.8,32.14176626,38.979,0.321781847
United States,78.85654,45180.8125,34.59198277,8.3,100,5.05,99.2,8987.901487,81.277,16.38975799
South Africa,60.89896,5544.992181,43.84853238,28.5,65.3,5.932455707,92.4,601.3723752,63.788,8.859169093
Zambia,60.28272,1232.822284,20.50886614,24.1,43.5,1.06,63.8,87.83302346,40.027,0.25086314
Afghanistan,59.92601,637.0379443,46.99705909,48.9,31.1,1.6,53.4,53.36597308,25.871,0.693183411
Bangladesh,71.01307,920.607277,1207.324222,86,58.7,1.59,85.5,28.15857423,32.753,0.438735966
Belarus,71.72385,6487.019834,46.65122468,17.1,94.4,4.88,99.7,465.1674524,75.877,6.736650116
Switzerland,82.96751,68574.83535,204.7106489,11.8,99.9,4.57,100,9471.535603,73.787,4.987795181
Chile,80.14998,11932.87163,23.63830071,20.7,99,4.57,99,1192.054094,89.175,4.732135712
Estonia,76.88,15686.66703,31.09216796,8,97.2,4.35,99.6,1213.556194,67.721,15.11041148
Fiji,69.56206,4165.118216,48.19304871,5.5,91.1,4.41,95.6,186.640258,52.976,1.940769143
Gabon,64.58082,4786.782601,6.404901618,29.2,41.6,3.06,92.7,380.2587331,86.658,2.88187119
Greece,80.63278,17892.50668,85.06757952,11.8,99,3.1,100,2017.222758,77.343,6.306851095
Ireland,80.96538,35997.53205,66.74835245,9.4,90.4,6.74,97.8,4156.590266,62.667,7.603873306
Italy,82.32586,28745.99319,204.7798599,16.3,99.5,3.93,100,3294.848511,68.686,5.723809985
Kenya,62.57568,1135.204183,76.77000562,16,29.9,4.88,62.3,69.99987383,24.78,0.304402198
Myanmar,66.15154,1010.207956,81.12915569,49.8,79.5,0.7,80.4,17.93361636,33.007,0.237874069
Mauritius,74.10355,8616.919271,620.0261084,13.9,93.2,3.5,99.9,455.5292788,39.979,2.960046971
Niger,60.89352,334.425693,14.4934578,69.9,10.5,4.16,57.3,20.7793519,18.22,0.106860921
Panama,77.50749,10572.20972,51.19293785,11.8,73.9,2.8,94.1,906.1378548,65.994,2.723017655
Peru,75.28803,5446.276291,23.87926641,28.6,74.6,2.69,85.9,346.4926238,77.954,1.869883854
Portugal,80.61548,17515.63325,114.1626092,9.2,99.6,5.14,100,2059.461434,62.338,4.423980771
Paraguay,73.76443,3750.877257,16.27402215,15.5,86.8,4.88,95,469.0079401,59.174,0.769054525
Rwanda,65.23911,572.5330043,449.0512769,44.5,60,4.28,74.9,52.20386055,26.869,0.072160963
Senegal,66.03338,904.7516051,73.86402639,34.9,46.6,5.19,77,46.91551225,43.079,0.592298342
Sierra Leone,50.39339,621.3100235,85.60347742,19.3,13,2.58,60.6,92.4048297,39.226,0.192879462
Swaziland,57.5793,2819.873955,72.71168605,17.7,57.5,9.23,74.1,272.6272312,21.337,0.870832637
Trinidad and Tobago,70.98109,11360.43589,262.8148148,12.4,91.5,2.87,95.1,1084.362382,8.666,34.52023675
Tunisia,74.94267,3232.116994,70.07273429,34.6,90.9,5.9,97.3,309.4692551,66.456,2.541451798
