County/City,Democratic,Republican,Total Votes Cast,Year,Republican Share
Gloucester County,4058,6461,13345,1992,48.41513676
Goochland County,2589,3834,7479,1992,51.26353791
Grayson County,2615,3378,6939,1992,48.68136619
Greene County,1353,2265,4331,1992,52.2973909
Greensville County,2237,1335,3986,1992,33.49222278
Halifax County,4752,5199,11262,1992,46.16409164
Hampton City (CD 1),9113,13361,27277,1992,48.98265938
Hampton City (CD 3),14282,5858,22601,1992,25.91920711
Hanover County (CD 1),4563,11270,19045,1992,59.17563665
Hanover County (CD 7),3458,9066,15216,1992,59.58201893
Harrisonburg City,3414,4935,9632,1992,51.23546512
Henrico County (CD 3),12727,6296,21174,1992,29.73458015
Henrico County (CD 7),24080,50614,87694,1992,57.71660547
Henry County,9296,9005,21825,1992,41.26002291
Highland County,494,686,1400,1992,49
Hopewell City (CD 3),772,101,931,1992,10.84854995
Hopewell City (CD 4),2091,3717,7111,1992,52.27112924
Isle of Wight County,4380,5370,11387,1992,47.15904101
James City County (CD 1),5286,6716,14374,1992,46.72325031
James City County (CD 3),1250,2065,3847,1992,53.6781908
King and Queen County,1363,1206,2917,1992,41.34384642
King George County,1811,2570,5324,1992,48.27197596
King William County,1822,2591,5230,1992,49.54110899
Lancaster County,1812,2841,5528,1992,51.39290883
Lee County,5215,3504,9796,1992,35.76970192
Lexington City,1128,894,2277,1992,39.26218709
Loudoun County,14462,19290,41574,1992,46.3991918
Louisa County,3399,3461,8307,1992,41.66365716
Lunenburg County,2082,2227,4912,1992,45.33794788
Lynchburg City,9587,12518,24969,1992,50.13416637
Madison County,1700,2341,4779,1992,48.98514334
Manassas City,3647,5453,11154,1992,48.8882912
Manassas Park City,567,792,1720,1992,46.04651163
Martinsville City,3073,2690,6617,1992,40.65286384
Mathews County,1402,2179,4525,1992,48.15469613
Mecklenburg County,4273,5401,10970,1992,49.2342753
Middlesex County,1597,2224,4685,1992,47.47065101
Montgomery County,10658,10606,24935,1992,42.53458993
Nelson County,2586,2159,5538,1992,38.98519321
New Kent County,1738,2708,5483,1992,49.38902061
Newport News City (CD 1),11117,19066,35951,1992,53.03329532
Newport News City (CD 3),14626,7713,25140,1992,30.68019093
Norfolk City (CD 2),19743,18679,45654,1992,40.91426819
Norfolk City (CD 3),17859,3683,23373,1992,15.75749797
Northampton County,2568,2088,5618,1992,37.16625133
Northumberland County,1862,2667,5334,1992,50
Norton City,871,472,1548,1992,30.49095607
Nottoway County,2411,2610,5743,1992,45.44663068
Orange County,3348,4092,8966,1992,45.63908097
Page County,3010,4203,8460,1992,49.68085106
Patrick County,2465,3521,7189,1992,48.97760467
Petersburg City (CD 3),5606,882,6878,1992,12.8234952
Petersburg City (CD 4),3065,2243,5839,1992,38.41411201
Pittsylvania County,7675,11467,21894,1992,52.37507993
Poquoson City,1086,3354,5437,1992,61.68843112
Portsmouth City (CD 3),11018,1719,13473,1992,12.75885104
Portsmouth City (CD 4),9398,10856,24126,1992,44.99709857
Powhatan County,1950,3832,7086,1992,54.07846458
Prince Edward County,2775,2858,6383,1992,44.77518408
Prince George County (CD 3),275,568,1006,1992,56.4612326
Prince George County (CD 4),2812,4231,8406,1992,50.33309541
Prince William County (CD 10),10299,16822,33525,1992,50.17747949
Prince William County (CD 11),16187,18610,42155,1992,44.14660183
Pulaski County,5633,6148,13987,1992,43.95510117
Radford City,2183,1996,4785,1992,41.71368861
Rappahannock County,1273,1410,3181,1992,44.32568375
Richmond County,1034,1609,3050,1992,52.75409836
Richmond City (CD 3),34716,7799,46044,1992,16.93814612
Richmond City (CD 7),12926,16542,33691,1992,49.09916595
Roanoke City,17724,13443,35181,1992,38.21096615
Roanoke County (CD 6),12592,17634,34960,1992,50.44050343
Roanoke County (CD 9),2112,3033,6120,1992,49.55882353
Rockbridge County,2908,3228,7503,1992,43.02279088
Rockingham County (CD 10),568,1266,2238,1992,56.56836461
Rockingham County (CD 6),4839,11730,19235,1992,60.98258383
Russell County,6480,3891,11484,1992,33.88192268
Salem City,4028,5143,10669,1992,48.20508014
Scott County,3979,4515,9690,1992,46.59442724
Shenandoah County,3956,7746,13896,1992,55.74265976
Smyth County,4924,6128,12931,1992,47.38999304
S. Boston City,1051,1435,2757,1992,52.04932898
Southampton County,3199,2844,6874,1992,41.37329066
Spotsylvania County (CD 1),5015,7274,14723,1992,49.40569177
